a52dec 0.7.4-9
mytop 10.1.19-1
nano 2.7.1-1
ncdu 1.12-1
ncurses 6.0+20161112-1
neon 0.30.2-1
net-tools 1.60.20160710git-1
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
network-manager-applet 1.4.2-1
networkmanager 1.4.2-2
networkmanager-openvpn 1.2.6-1
nginx 1.10.2-2
ngxtop 0.0.2-2
nm-connection-editor 1.4.2-1
nmap 7.31-1
nodejs 7.2.0-2
noto-fonts 20161003-1
npth 1.3-1
nspr 4.13.1-1
nss 3.27.1-1
nxproxy 3.5.0.32-2
ocl-icd 2.2.9-1
openal 1.17.2-2
opencore-amr 0.1.3-2
opencv 3.1.0-3
opendesktop-fonts 1.4.2-3
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.1.2-1
openresolv 3.8.1-1
openssh 7.3p1-2
openssl 1.0.2.j-1
openvpn 2.3.13-1
opus 1.1.3-2
orbit2 2.14.19-3
orc 0.4.26-1
owncloud-client 2.2.4-1
p11-kit 0.23.2-1
p7zip 16.02-2
package-query 1.8-2
pacman 5.0.1-4
pacman-mirrorlist 20161203-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.3-1
pango-perl 1.227-2
pangomm 2.40.1-1
pangox-compat 0.0.2-2
paprefs 0.9.10-6
parted 3.2-5
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.2-1
pcmanfm 1.2.4-2
pcmciautils 018-7
pcre 8.39-2
pcre2 10.22-2
pcsclite 1.8.18-1
pepper-flash 23.0.0.207-1
perl 5.24.0-2
perl-dbd-mysql 4.041-1
perl-dbi 1.636-2
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-ipc-system-simple 1.25-1
perl-libintl-perl 1.26-1
perl-locale-gettext 1.07-2
perl-term-readkey 2.37-1
perl-xml-parser 2.44-3
phonon-qt4 4.9.0-1
phonon-qt4-vlc 0.9.0-1
php 7.0.13-2
php-apcu 5.1.7-1
php-fpm 7.0.13-2
php-gd 7.0.13-2
php-geoip 1.1.1-1
php-mcrypt 7.0.13-2
pidgin 2.11.0-1
pidgin-otr 4.0.2-1
pidgin-toobars 1.14-2
pinentry 1.0.0-1
pixman 0.34.0-1
pkcs11-helper 1.11-3
pkg-config 0.29.1-2
pnmixer 0.7-1
polkit 0.113-4
polkit-qt4 0.112.0+git20160226-1
ponysay 3.0.2-1
poppler 0.49.0-1
poppler-glib 0.49.0-1
popt 1.16-8
portaudio 190600_20161030-1
portsmf 228-2
powertop 2.8-2
ppp 2.4.7-2
presentproto 1.0-1
printproto 1.0.5-3
procps-ng 3.3.12-1
projectm 2.1.0-15
protobuf 3.0.2-2
protobuf-c 1.2.1-3
psmisc 22.21-3
pulseaudio 9.0-1
pulseaudio-alsa 2-3
pulseaudio-gconf 9.0-1
pygobject-devel 3.22.0-1
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
python 3.5.2-3
python-appdirs 1.4.0-4
python-beaker 1.8.1-1
python-cairo 1.10.0-6
python-dbus 1.2.4-1
python-dbus-common 1.2.4-1
python-gobject 3.22.0-1
python-mako 1.0.6-1
python-markupsafe 0.23-3
python-packaging 16.8-1
python-pyalsaaudio 0.8.2-1
python-pyparsing 2.1.10-1
python-pyudev 0.21.0-1
python-setuptools 1:28.8.0-1
python-six 1.10.0-2
python-xdg 0.25-3
python2 2.7.12-2
python2-appdirs 1.4.0-4
python2-cairo 1.10.0-2
python2-cffi 1.9.1-1
python2-chardet 2.3.0-2
python2-click 6.6-1
python2-constantly 15.1.0-1
python2-crypto 2.6.1-3
python2-cryptography 1.6-1
python2-dbus 1.2.4-1
python2-docopt 0.6.2-3
python2-enum34 1.1.6-1
python2-gobject 3.22.0-1
python2-gobject2 2.28.6-12
python2-idna 2.1-1
python2-incremental 16.10.1-1
python2-ipaddress 1.0.17-1
python2-keybinder2 0.3.1-1
python2-notify 0.1.1-13
python2-numpy 1.11.2-1
python2-packaging 16.8-1
python2-ply 3.9-1
python2-psutil 5.0.0-1
python2-pyalsaaudio 0.8.2-1
python2-pyasn1 0.1.9-1
python2-pycparser 2.17-1
python2-pyopenssl 16.2.0-1
python2-pyparsing 2.1.10-1
python2-setuptools 1:28.8.0-1
python2-six 1.10.0-2
python2-tabulate 0.7.5-2
python2-twisted 16.6.0-1
